Position, Velocity, Delta Time, 
0.000309, 0.012346, 50, 
0.001530, 0.024430, 50, 
0.004279, 0.054969, 50, 
0.009165, 0.097728, 50, 
0.016801, 0.152714, 50, 
0.027798, 0.219940, 50, 
0.042769, 0.299422, 50, 
0.062328, 0.391186, 50, 
0.087091, 0.495262, 50, 
0.117676, 0.611691, 50, 
0.154702, 0.740525, 50, 
0.198793, 0.881822, 50, 
0.250269, 1.029526, 50, 
0.309147, 1.177562, 50, 
0.375446, 1.325975, 50, 
0.449187, 1.474809, 50, 
0.530392, 1.624107, 50, 
0.619088, 1.773916, 50, 
0.715302, 1.924281, 50, 
0.819064, 2.075251, 50, 
0.930408, 2.226880, 50, 
1.049370, 2.379227, 50, 
1.175988, 2.532359, 50, 
1.310305, 2.686354, 50, 
1.452371, 2.841301, 50, 
1.602236, 2.997310, 50, 
1.759962, 3.154511, 50, 
1.925300, 3.306779, 50, 
2.097697, 3.447939, 50, 
2.276601, 3.578065, 50, 
2.461463, 3.697252, 50, 
2.651744, 3.805614, 50, 
2.846909, 3.903291, 50, 
3.046431, 3.990453, 50, 
3.249796, 4.067300, 50, 
3.456500, 4.134069, 50, 
3.666051, 4.191034, 50, 
3.877977, 4.238509, 50, 
4.091819, 4.276846, 50, 
4.307475, 4.313118, 50, 
4.525213, 4.354760, 50, 
4.745357, 4.402871, 50, 
4.968295, 4.458768, 50, 
5.194495, 4.524006, 50, 
5.424513, 4.600352, 50, 
5.658998, 4.689695, 50, 
5.898688, 4.793799, 50, 
6.144377, 4.913781, 50, 
6.396836, 5.049180, 50, 
6.656660, 5.196478, 50, 
6.924023, 5.347276, 50, 
7.198373, 5.486987, 50, 
7.478165, 5.595836, 50, 
7.760857, 5.653846, 50, 
8.043298, 5.648830, 50, 
8.322419, 5.582417, 50, 
8.595878, 5.469168, 50, 
8.862356, 5.329576, 50, 
9.121479, 5.182459, 50, 
9.373527, 5.040944, 50, 
9.619136, 4.912182, 50, 
9.859080, 4.798878, 50, 
10.094133, 4.701073, 50, 
10.325008, 4.617488, 50, 
10.552325, 4.546342, 50, 
10.776615, 4.485801, 50, 
10.998323, 4.434174, 50, 
11.217823, 4.389993, 50, 
11.435424, 4.352018, 50, 
11.651385, 4.319219, 50, 
11.865922, 4.290749, 50, 
12.079218, 4.265912, 50, 
12.291425, 4.244137, 50, 
12.502673, 4.224955, 50, 
12.713072, 4.207981, 50, 
12.922716, 4.192892, 50, 
13.131688, 4.179425, 50, 
13.340055, 4.167357, 50, 
13.547880, 4.156502, 50, 
13.755216, 4.146703, 50, 
13.962107, 4.137828, 50, 
14.168595, 4.129765, 50, 
14.343393, 3.495959, 50, 
14.514801, 3.428153, 50, 
14.686896, 3.441913, 50, 
14.859886, 3.459781, 50, 
15.033952, 3.481331, 50, 
15.209255, 3.506050, 50, 
15.385924, 3.533382, 50, 
15.564062, 3.562765, 50, 
15.743745, 3.593665, 50, 
15.925025, 3.625603, 50, 
16.107934, 3.658165, 50, 
16.292484, 3.691015, 50, 
16.478679, 3.723893, 50, 
16.666509, 3.756609, 50, 
16.855961, 3.789040, 50, 
17.047017, 3.821117, 50, 
17.239658, 3.852817, 50, 
17.433866, 3.884156, 50, 
17.629625, 3.915179, 50, 
17.826923, 3.945953, 50, 
18.025751, 3.976560, 50, 
18.226105, 4.007092, 50, 
18.427987, 4.037645, 50, 
18.631222, 4.064684, 50, 
18.835314, 4.081837, 50, 
19.039622, 4.086164, 50, 
19.243488, 4.077330, 50, 
19.446237, 4.054975, 50, 
19.647172, 4.018703, 50, 
19.845577, 3.968097, 50, 
20.040713, 3.902716, 50, 
20.231818, 3.822112, 50, 
20.418111, 3.725851, 50, 
20.598787, 3.613525, 50, 
20.773026, 3.484781, 50, 
20.940190, 3.343280, 50, 
21.099979, 3.195778, 50, 
21.252244, 3.045291, 50, 
21.396844, 2.892004, 50, 
21.533650, 2.736133, 50, 
21.662546, 2.577920, 50, 
21.783427, 2.417618, 50, 
21.896202, 2.255487, 50, 
22.000791, 2.091782, 50, 
22.097128, 1.926748, 50, 
22.185159, 1.760611, 50, 
22.264837, 1.593575, 50, 
22.336129, 1.425822, 50, 
22.399004, 1.257506, 50, 
22.453442, 1.088760, 50, 
22.499630, 0.923761, 50, 
22.538113, 0.769668, 50, 
22.569591, 0.629556, 50, 
22.594765, 0.503480, 50, 
22.614339, 0.391481, 50, 
22.629018, 0.293584, 50, 
22.639509, 0.209807, 50, 
22.646517, 0.140161, 50, 
22.650749, 0.084654, 50, 
22.652914, 0.043290, 50, 
22.653717, 0.016071, 50, 
22.653867, 0.002999, 50, 
22.653867, 0.000000, 50, 
