Position, Velocity, Delta Time, 
0.000309, 0.012346, 50, 
0.001563, 0.025087, 50, 
0.004385, 0.056444, 50, 
0.009402, 0.100341, 50, 
0.017241, 0.156773, 50, 
0.028527, 0.225732, 50, 
0.043888, 0.307205, 50, 
0.063947, 0.401178, 50, 
0.089328, 0.507627, 50, 
0.120654, 0.626524, 50, 
0.158546, 0.757836, 50, 
0.203622, 0.901520, 50, 
0.256186, 1.051270, 50, 
0.316225, 1.200790, 50, 
0.383727, 1.350048, 50, 
0.458678, 1.499013, 50, 
0.541061, 1.647655, 50, 
0.630858, 1.795943, 50, 
0.728050, 1.943848, 50, 
0.832617, 2.091339, 50, 
0.944537, 2.238388, 50, 
1.063785, 2.384964, 50, 
1.190337, 2.531038, 50, 
1.324166, 2.676580, 50, 
1.465244, 2.821556, 50, 
1.613540, 2.965936, 50, 
1.769025, 3.109685, 50, 
1.931355, 3.246610, 50, 
2.099884, 3.370569, 50, 
2.273964, 3.481605, 50, 
2.452952, 3.579769, 50, 
2.636208, 3.665115, 50, 
2.823093, 3.737703, 50, 
3.012973, 3.797594, 50, 
3.205216, 3.844858, 50, 
3.399194, 3.879565, 50, 
3.594284, 3.901792, 50, 
3.789865, 3.911621, 50, 
3.985322, 3.909137, 50, 
4.180344, 3.900445, 50, 
4.374923, 3.891586, 50, 
4.569051, 3.882550, 50, 
4.762717, 3.873328, 50, 
4.955913, 3.863913, 50, 
5.148628, 3.854297, 50, 
5.340851, 3.844478, 50, 
5.532574, 3.834453, 50, 
5.723785, 3.824225, 50, 
5.914475, 3.813798, 50, 
6.104634, 3.803180, 50, 
6.294253, 3.792384, 50, 
6.483325, 3.781428, 50, 
6.671842, 3.770336, 50, 
6.859798, 3.759137, 50, 
7.047192, 3.747865, 50, 
7.234020, 3.736566, 50, 
7.420284, 3.725288, 50, 
7.605989, 3.714089, 50, 
7.791141, 3.703034, 50, 
7.975750, 3.692195, 50, 
8.159833, 3.681652, 50, 
8.343407, 3.671488, 50, 
8.526497, 3.661792, 50, 
8.709130, 3.652656, 50, 
8.891338, 3.644171, 50, 
9.073160, 3.636427, 50, 
9.254635, 3.629511, 50, 
9.435810, 3.623501, 50, 
9.616733, 3.618466, 50, 
9.797457, 3.614465, 50, 
9.978034, 3.611540, 50, 
10.158520, 3.609718, 50, 
10.338970, 3.609010, 50, 
10.519207, 3.604731, 50, 
10.698770, 3.591271, 50, 
10.877153, 3.567657, 50, 
11.053841, 3.533762, 50, 
11.228312, 3.489426, 50, 
11.400036, 3.434465, 50, 
11.568470, 3.368678, 50, 
11.733063, 3.291861, 50, 
11.893253, 3.203813, 50, 
12.048470, 3.104341, 50, 
12.198134, 2.993273, 50, 
12.341657, 2.870452, 50, 
12.478682, 2.740510, 50, 
12.609135, 2.609051, 50, 
12.732983, 2.476969, 50, 
12.850196, 2.344266, 50, 
12.960744, 2.210956, 50, 
13.064597, 2.077062, 50, 
13.161728, 1.942611, 50, 
13.252110, 1.807634, 50, 
13.335718, 1.672168, 50, 
13.412530, 1.536249, 50, 
13.482526, 1.399915, 50, 
13.545686, 1.263205, 50, 
13.601994, 1.126158, 50, 
13.651435, 0.988811, 50, 
13.693995, 0.851204, 50, 
13.729906, 0.718213, 50, 
13.759688, 0.595645, 50, 
13.783912, 0.484471, 50, 
13.803148, 0.384731, 50, 
13.817971, 0.296454, 50, 
13.828954, 0.219666, 50, 
13.836673, 0.154385, 50, 
13.841705, 0.100625, 50, 
13.844624, 0.058395, 50, 
13.846009, 0.027699, 50, 
13.846436, 0.008542, 50, 
13.846483, 0.000924, 50, 
13.846483, 0.000000, 50, 
