Position, Velocity, Delta Time, 
0.000309, 0.012346, 50, 
0.001454, 0.022913, 50, 
0.004032, 0.051556, 50, 
0.008615, 0.091657, 50, 
0.015776, 0.143220, 50, 
0.026088, 0.206249, 50, 
0.040126, 0.280751, 50, 
0.058463, 0.366736, 50, 
0.081674, 0.464217, 50, 
0.110334, 0.573212, 50, 
0.145021, 0.693744, 50, 
0.186314, 0.825842, 50, 
0.234504, 0.963806, 50, 
0.289601, 1.101932, 50, 
0.351613, 1.240250, 50, 
0.420553, 1.378795, 50, 
0.496433, 1.517606, 50, 
0.579269, 1.656724, 50, 
0.669079, 1.796192, 50, 
0.765882, 1.936059, 50, 
0.869701, 2.076376, 50, 
0.980560, 2.217197, 50, 
1.098489, 2.358576, 50, 
1.223518, 2.500573, 50, 
1.355680, 2.643247, 50, 
1.495013, 2.786655, 50, 
1.641556, 2.930857, 50, 
1.795060, 3.070079, 50, 
1.954984, 3.198489, 50, 
2.120786, 3.316036, 50, 
2.291919, 3.422655, 50, 
2.467832, 3.518266, 50, 
2.647971, 3.602773, 50, 
2.831774, 3.676072, 50, 
3.018677, 3.738047, 50, 
3.208105, 3.788575, 50, 
3.399482, 3.827530, 50, 
3.592221, 3.854783, 50, 
3.785731, 3.870203, 50, 
3.979714, 3.879659, 50, 
4.174169, 3.889090, 50, 
4.369093, 3.898491, 50, 
4.564486, 3.907857, 50, 
4.760345, 3.917185, 50, 
4.956669, 3.926475, 50, 
5.153455, 3.935727, 50, 
5.350702, 3.944943, 50, 
5.548409, 3.954126, 50, 
5.746573, 3.963281, 50, 
5.945193, 3.972411, 50, 
6.144270, 3.981523, 50, 
6.343801, 3.990622, 50, 
6.543786, 3.999714, 50, 
6.744227, 4.008806, 50, 
6.945122, 4.017904, 50, 
7.146472, 4.027014, 50, 
7.348280, 4.036142, 50, 
7.550544, 4.045294, 50, 
7.753268, 4.054474, 50, 
7.956452, 4.063686, 50, 
8.160099, 4.072934, 50, 
8.364210, 4.082219, 50, 
8.568787, 4.091543, 50, 
8.773832, 4.100903, 50, 
8.979347, 4.110299, 50, 
9.185333, 4.119726, 50, 
9.391792, 4.129176, 50, 
9.598724, 4.138642, 50, 
9.806130, 4.148112, 50, 
10.014009, 4.157572, 50, 
10.222359, 4.167006, 50, 
10.431178, 4.176393, 50, 
10.640464, 4.185711, 50, 
10.850211, 4.194935, 50, 
11.060413, 4.204034, 50, 
11.271061, 4.212977, 50, 
11.482148, 4.221730, 50, 
11.693661, 4.230254, 50, 
11.905586, 4.238510, 50, 
12.117909, 4.246457, 50, 
12.330612, 4.254053, 50, 
12.543674, 4.261253, 50, 
12.757075, 4.268015, 50, 
