Position, Velocity, Delta Time, 
0.000309, 0.012346, 50, 
0.001300, 0.019836, 50, 
0.003532, 0.044628, 50, 
0.007498, 0.079332, 50, 
0.013695, 0.123938, 50, 
0.022617, 0.178434, 50, 
0.034757, 0.242800, 50, 
0.050608, 0.317014, 50, 
0.070660, 0.401052, 50, 
0.095405, 0.494892, 50, 
0.125331, 0.598521, 50, 
0.160928, 0.711950, 50, 
0.202443, 0.830282, 50, 
0.249877, 0.948686, 50, 
0.303244, 1.067334, 50, 
0.362567, 1.186471, 50, 
0.427888, 1.306414, 50, 
0.499266, 1.427562, 50, 
0.576785, 1.550387, 50, 
0.660557, 1.675434, 50, 
0.750722, 1.803297, 50, 
0.847452, 1.934599, 50, 
0.950949, 2.069952, 50, 
1.061446, 2.209926, 50, 
1.179196, 2.355004, 50, 
1.304473, 2.505553, 50, 
1.437563, 2.661798, 50, 
1.578485, 2.818434, 50, 
1.726968, 2.969654, 50, 
1.882701, 3.114664, 50, 
2.045329, 3.252568, 50, 
2.214452, 3.382446, 50, 
2.389623, 3.503419, 50, 
2.570357, 3.614695, 50, 
2.756137, 3.715594, 50, 
2.946415, 3.805554, 50, 
3.140621, 3.884122, 50, 
3.338168, 3.950934, 50, 
3.538379, 4.004233, 50, 
3.740563, 4.043676, 50, 
3.944083, 4.070410, 50, 
4.148290, 4.084123, 50, 
4.352511, 4.084434, 50, 
4.556055, 4.070867, 50, 
4.758196, 4.042834, 50, 
4.958178, 3.999630, 50, 
5.155200, 3.940443, 50, 
5.348419, 3.864382, 50, 
5.536946, 3.770531, 50, 
5.719846, 3.658012, 50, 
5.896233, 3.527735, 50, 
6.065551, 3.386355, 50, 
6.227517, 3.239326, 50, 
6.381862, 3.086906, 50, 
6.528337, 2.929489, 50, 
6.666716, 2.767581, 50, 
6.796804, 2.601762, 50, 
6.918436, 2.432649, 50, 
7.031479, 2.260861, 50, 
7.135828, 2.086980, 50, 
7.231405, 1.911534, 50, 
7.318154, 1.734981, 50, 
7.396039, 1.557699, 50, 
7.465039, 1.379989, 50, 
7.525142, 1.202076, 50, 
7.576435, 1.025855, 50, 
7.619376, 0.858824, 50, 
7.654711, 0.706688, 50, 
7.683183, 0.569451, 50, 
7.705538, 0.447098, 50, 
7.722519, 0.339608, 50, 
7.734866, 0.246954, 50, 
7.743322, 0.169117, 50, 
7.748626, 0.106079, 50, 
7.751517, 0.057827, 50, 
7.752735, 0.024354, 50, 
7.753018, 0.005656, 50, 
7.753018, 0.000000, 50, 
