Position, Velocity, Delta Time, 
0.000309, 0.012346, 50, 
0.001461, 0.023048, 50, 
0.004054, 0.051858, 50, 
0.008664, 0.092195, 50, 
0.015867, 0.144062, 50, 
0.026240, 0.207463, 50, 
0.040360, 0.282407, 50, 
0.058806, 0.368905, 50, 
0.082154, 0.466972, 50, 
0.110986, 0.576629, 50, 
0.145881, 0.697901, 50, 
0.187422, 0.830821, 50, 
0.235904, 0.969655, 50, 
0.291338, 1.108667, 50, 
0.353732, 1.247889, 50, 
0.423100, 1.387356, 50, 
0.499455, 1.527103, 50, 
0.582814, 1.667171, 50, 
0.673194, 1.807601, 50, 
0.770616, 1.948438, 50, 
0.875102, 2.089729, 50, 
0.986678, 2.231520, 50, 
1.105371, 2.373862, 50, 
1.231212, 2.516806, 50, 
1.364232, 2.660403, 50, 
1.504467, 2.804704, 50, 
1.651955, 2.949759, 50, 
1.806442, 3.089750, 50, 
1.967382, 3.218798, 50, 
2.134225, 3.336852, 50, 
2.306417, 3.443845, 50, 
2.483402, 3.539696, 50, 
2.664618, 3.624316, 50, 
2.849498, 3.697603, 50, 
3.037471, 3.759451, 50, 
3.227958, 3.809747, 50, 
3.420376, 3.848373, 50, 
3.614137, 3.875211, 50, 
3.808644, 3.890143, 50, 
4.003598, 3.899075, 50, 
4.198997, 3.907984, 50, 
4.394840, 3.916867, 50, 
4.591127, 3.925722, 50, 
4.787854, 3.934548, 50, 
4.985021, 3.943345, 50, 
5.182627, 3.952116, 50, 
5.380670, 3.960863, 50, 
5.579150, 3.969590, 50, 
5.778065, 3.978300, 50, 
5.977414, 3.986997, 50, 
6.177199, 3.995687, 50, 
6.377418, 4.004374, 50, 
6.578071, 4.013064, 50, 
6.779159, 4.021761, 50, 
6.980682, 4.030471, 50, 
7.182642, 4.039196, 50, 
7.385039, 4.047942, 50, 
7.587875, 4.056712, 50, 
7.791150, 4.065509, 50, 
7.994867, 4.074333, 50, 
8.199026, 4.083186, 50, 
8.403630, 4.092066, 50, 
8.608678, 4.100973, 50, 
8.814171, 4.109853, 50, 
9.019788, 4.112338, 50, 
9.224890, 4.102037, 50, 
9.428831, 4.078832, 50, 
9.630961, 4.042603, 50, 
9.830623, 3.993236, 50, 
10.027154, 3.930616, 50, 
10.219886, 3.854637, 50, 
10.408146, 3.765198, 50, 
10.591256, 3.662209, 50, 
10.768536, 3.545590, 50, 
10.939299, 3.415275, 50, 
11.102863, 3.271261, 50, 
11.258863, 3.120017, 50, 
11.407264, 2.968019, 50, 
11.548030, 2.815317, 50, 
11.681128, 2.661963, 50, 
11.806529, 2.508008, 50, 
11.924204, 2.353501, 50, 
12.034128, 2.198494, 50, 
12.136280, 2.043034, 50, 
12.230639, 1.887167, 50, 
12.317185, 1.730938, 50, 
12.395905, 1.574389, 50, 
12.466783, 1.417558, 50, 
12.529807, 1.260483, 50, 
12.584967, 1.103199, 50, 
12.632256, 0.945787, 50, 
12.671999, 0.794858, 50, 
12.704848, 0.656972, 50, 
12.731456, 0.532162, 50, 
12.752479, 0.420455, 50, 
12.768572, 0.321869, 50, 
12.780393, 0.236421, 50, 
12.788599, 0.164122, 50, 
12.793848, 0.104979, 50, 
12.796798, 0.058998, 50, 
12.798107, 0.026182, 50, 
12.798434, 0.006533, 50, 
12.798434, 0.000000, 50, 
