Position, Velocity, Delta Time, 
0.000305, 0.012187, 50, 
0.001036, 0.014636, 50, 
0.002684, 0.032951, 50, 
0.005616, 0.058649, 50, 
0.010207, 0.091817, 50, 
0.016838, 0.132605, 50, 
0.025899, 0.181239, 50, 
0.037802, 0.238053, 50, 
0.052978, 0.303510, 50, 
0.071890, 0.378243, 50, 
0.095044, 0.463080, 50, 
0.122998, 0.559082, 50, 
0.156176, 0.663571, 50, 
0.194860, 0.773671, 50, 
0.239372, 0.890250, 50, 
0.290074, 1.014034, 50, 
0.347351, 1.145543, 50, 
0.411603, 1.285033, 50, 
0.483227, 1.432477, 50, 
0.562606, 1.587577, 50, 
0.650096, 1.749811, 50, 
0.746022, 1.918512, 50, 
0.850669, 2.092952, 50, 
0.964291, 2.272436, 50, 
1.087110, 2.456374, 50, 
1.219328, 2.644353, 50, 
1.361137, 2.836187, 50, 
1.512445, 3.026167, 50, 
1.672863, 3.208343, 50, 
1.841993, 3.382609, 50, 
2.019455, 3.549247, 50, 
2.204902, 3.708932, 50, 
2.398038, 3.862730, 50, 
2.598643, 4.012100, 50, 
2.806588, 4.158890, 50, 
3.021852, 4.305281, 50, 
3.244534, 4.453633, 50, 
3.474839, 4.606099, 50, 
3.712778, 4.758780, 50, 
3.958260, 4.909642, 50, 
4.211127, 5.057336, 50, 
4.470576, 5.188982, 50, 
4.734787, 5.284231, 50, 
5.000728, 5.318816, 50, 
5.264392, 5.273286, 50, 
5.521522, 5.142596, 50, 
5.768466, 4.938886, 50, 
6.002711, 4.684900, 50, 
6.222907, 4.403918, 50, 
6.428565, 4.113161, 50, 
6.619947, 3.827633, 50, 
6.797868, 3.558430, 50, 
6.963244, 3.307516, 50, 
7.116886, 3.072835, 50, 
7.259484, 2.851956, 50, 
7.391611, 2.642549, 50, 
7.513740, 2.442566, 50, 
7.626254, 2.250282, 50, 
7.729468, 2.064281, 50, 
7.823638, 1.883407, 50, 
7.908974, 1.706722, 50, 
7.985647, 1.533462, 50, 
8.053797, 1.363002, 50, 
8.113539, 1.194828, 50, 
8.164964, 1.028509, 50, 
8.208376, 0.868244, 50, 
8.244398, 0.720427, 50, 
8.273744, 0.586922, 50, 
8.297117, 0.467468, 50, 
8.315211, 0.361868, 50, 
8.328709, 0.269973, 50, 
8.338293, 0.191673, 50, 
8.344638, 0.126893, 50, 
8.348417, 0.075579, 50, 
8.350301, 0.037698, 50, 
8.350963, 0.013234, 50, 
8.351072, 0.002177, 50, 
8.351072, 0.000000, 50, 
